Lat,Lon,Times_exceeded
52.239,21.081,5.0
52.232,21.133,5.0
52.303,21.045,5.0
52.208,21.11,5.0
52.297,21.014,5.0
52.234,20.897,5.0
52.306,20.908,5.0
52.191,21.075,5.0
52.176,21.062,5.0
52.315,20.976,5.0
52.262,21.053,5.0
52.236,21.041,5.0
52.19,20.981,5.0
52.296,20.998,5.0
52.23,21.071,5.0
52.23,21.026,5.0
52.207,21.084,5.0
52.233,20.956,5.0
52.317,20.956,5.0
52.225,21.192,4.0
52.227,21.058,4.0
52.233,21.121,4.0
52.16,21.04,4.0
52.215,20.958,4.0
52.295,20.933,4.0
52.249,21.18,4.0
52.263,21.053,4.0
52.236,21.09,4.0
52.282,21.047,4.0
52.287,20.993,4.0
52.217,20.963,4.0
52.201,21.057,4.0
52.265,20.93,4.0
52.233,21.12,4.0
52.125,21.096,4.0
52.347,21.125,4.0
52.182,20.983,4.0
52.113,21.019,4.0
52.245,21.048,4.0
52.185,21.066,4.0
52.315,20.977,4.0
52.143,21.096,4.0
52.205,21.081,4.0
52.208,21.056,4.0
52.376,21.149,4.0
52.226,21.168,4.0
52.244,21.092,4.0
52.203,20.94,4.0
52.182,20.891,4.0
52.263,21.055,4.0
52.185,20.974,4.0
52.216,20.96,4.0
52.126,21.018,4.0
52.233,21.122,4.0
52.23,21.07,4.0
52.161,21.096,4.0
52.2,20.934,4.0
52.214,20.835,4.0
52.219,20.969,4.0
52.273,20.967,4.0
52.294,21.0,4.0
52.234,21.102,4.0
52.25,21.024,4.0
52.227,21.057,4.0
52.219,21.094,4.0
52.211,21.088,4.0
52.211,20.785,4.0
52.28,20.979,4.0
52.305,20.987,4.0
52.235,21.039,4.0
52.151,21.063,4.0
52.191,21.074,4.0
52.234,21.105,4.0
52.301,21.037,4.0
52.33,20.941,4.0
52.233,21.074,4.0
52.152,21.023,4.0
52.26,21.008,4.0
52.297,21.084,4.0
52.237,21.13,4.0
52.229,20.974,4.0
52.265,21.057,4.0
52.287,20.996,4.0
52.219,21.024,4.0
52.198,20.932,4.0
52.205,21.08,4.0
52.222,21.034,4.0
52.257,20.902,4.0
52.231,21.133,4.0
52.209,20.947,4.0
52.178,21.044,4.0
52.257,20.997,4.0
52.205,20.941,4.0
52.203,20.894,4.0
52.321,20.947,4.0
52.205,20.942,4.0
