         249311383 function calls (247886283 primitive calls) in 146.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4370193    2.050    0.000    2.522    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:34(norm)
    16898    0.028    0.000    2.458    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:54(__init__)
     7947    0.016    0.000    2.444    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:728(compile)
   152662    0.337    0.000    2.140    0.000 <string>:21(str_to_dt)
   585677    1.247    0.000    2.028    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:133(sincosde)
  1439656    0.598    0.000    1.936    0.000 /usr/lib/python3.11/locale.py:479(_parse_localename)
  2928385    1.268    0.000    1.839    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:88(remainder)
 12889177    1.727    0.000    1.727    0.000 {built-in method builtins.min}
  1171365    0.580    0.000    1.694    0.000 {built-in method builtins.all}
    58455    0.040    0.000    1.687    0.000 <string>:176(delta_t)
  1066308    0.837    0.000    1.620    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:245(_A2m1f)
  1171354    0.606    0.000    1.476    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:94(AngNormalize)
51583/32097    0.014    0.000    1.445    0.000 {built-in method builtins.next}
  1066279    0.437    0.000    1.400    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:400(_A3f)
  1439656    1.048    0.000    1.338    0.000 /usr/lib/python3.11/locale.py:396(normalize)
 12254397    1.280    0.000    1.280    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:22(sq)
     7947    0.009    0.000    1.192    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:677(_generate)
     7947    0.015    0.000    1.183    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:101(generate)
82107/7947    0.219    0.000    1.141    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:35(visit)
     7947    0.114    0.000    1.121    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:826(visit_Template)
  4685416    0.870    0.000    1.114    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/point.py:61(<genexpr>)
      967    0.002    0.000    1.113    0.001 <string>:187(find_cur_stop)
     1906    0.047    0.000    1.111    0.001 <string>:189(<genexpr>)
  1757031    0.800    0.000    1.062    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:73(AngRound)
   585677    0.183    0.000    0.987    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:415(m)
  1486568    0.966    0.000    0.966    0.000 {method 'match' of 're.Pattern' objects}
      365    0.001    0.000    0.905    0.002 /usr/lib/python3.11/json/__init__.py:299(loads)
      365    0.001    0.000    0.903    0.002 /usr/lib/python3.11/json/decoder.py:332(decode)
      365    0.902    0.002    0.902    0.002 /usr/lib/python3.11/json/decoder.py:343(raw_decode)
12010852/12009062    0.887    0.000    0.888    0.000 {built-in method builtins.len}
 13741164    0.836    0.000    0.836    0.000 {built-in method builtins.abs}
   585677    0.360    0.000    0.804    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:419(meters)
  8165616    0.719    0.000    0.719    0.000 {built-in method builtins.isinstance}
  9370834    0.684    0.000    0.684    0.000 {built-in method math.isfinite}
