         147166893 function calls (146345743 primitive calls) in 87.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   567404    1.079    0.000    1.461    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:117(sincosd)
   832801    0.719    0.000    1.446    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:195(_A1m1f)
51583/32097    0.015    0.000    1.417    0.000 {built-in method builtins.next}
   283702    0.545    0.000    1.335    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:107(AngDiff)
  1439680    1.011    0.000    1.295    0.000 /usr/lib/python3.11/locale.py:396(normalize)
  2214701    1.017    0.000    1.267    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:34(norm)
     7947    0.009    0.000    1.182    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:677(_generate)
     7947    0.015    0.000    1.173    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:101(generate)
82107/7947    0.220    0.000    1.134    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:35(visit)
     7947    0.112    0.000    1.114    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:826(visit_Template)
      967    0.002    0.000    1.084    0.001 <string>:187(find_cur_stop)
     1906    0.053    0.000    1.082    0.001 <string>:189(<genexpr>)
   283702    0.594    0.000    0.973    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:133(sincosde)
  1486592    0.932    0.000    0.932    0.000 {method 'match' of 're.Pattern' objects}
      365    0.001    0.000    0.901    0.002 /usr/lib/python3.11/json/__init__.py:299(loads)
      365    0.001    0.000    0.900    0.002 /usr/lib/python3.11/json/decoder.py:332(decode)
      365    0.898    0.002    0.898    0.002 /usr/lib/python3.11/json/decoder.py:343(raw_decode)
  1418510    0.589    0.000    0.869    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:88(remainder)
   549101    0.432    0.000    0.844    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:245(_A2m1f)
   567415    0.294    0.000    0.842    0.000 {built-in method builtins.all}
  6245727    0.841    0.000    0.841    0.000 {built-in method builtins.min}
   549099    0.228    0.000    0.738    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geodesic.py:400(_A3f)
   301969    0.523    0.000    0.707    0.000 <string>:13(calc_distance)
   567404    0.289    0.000    0.689    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:94(AngNormalize)
     7947    0.011    0.000    0.681    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:613(_parse)
    796/4    0.003    0.000    0.650    0.163 <frozen importlib._bootstrap>:1167(_find_and_load)
    794/4    0.003    0.000    0.650    0.163 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
  6131608    0.650    0.000    0.650    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:22(sq)
    750/4    0.002    0.000    0.650    0.162 <frozen importlib._bootstrap>:666(_load_unlocked)
    647/4    0.001    0.000    0.649    0.162 <frozen importlib._bootstrap_external>:934(exec_module)
   1765/7    0.001    0.000    0.649    0.093 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
7828303/7826513    0.588    0.000    0.588    0.000 {built-in method builtins.len}
  2269616    0.429    0.000    0.548    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/point.py:61(<genexpr>)
     7947    0.005    0.000    0.545    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:698(_compile)
     8154    0.542    0.000    0.542    0.000 {built-in method builtins.compile}
  1440516    0.541    0.000    0.541    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.529    0.529 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/__init__.py:1(<module>)
   283702    0.111    0.000    0.517    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:415(m)
   851106    0.386    0.000    0.516    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:73(AngRound)
        2    0.000    0.000    0.495    0.247 <string>:59(file_to_dict)
  5749864    0.484    0.000    0.484    0.000 {built-in method builtins.isinstance}
     7903    0.017    0.000    0.439    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:687(__call__)
     7903    0.007    0.000    0.420    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:773(_invoke)
  6754045    0.419    0.000    0.419    0.000 {built-in method builtins.abs}
   283702    0.185    0.000    0.406    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:419(meters)
        1    0.000    0.000    0.396    0.396 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/__init__.py:1(<module>)
        1    0.000    0.000    0.395    0.395 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/colormap.py:1(<module>)
  4351292    0.386    0.000    0.386    0.000 {method 'get' of 'dict' objects}
     7947    0.010    0.000    0.367    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:51(__init__)
  1439680    0.358    0.000    0.358    0.000 {built-in method _locale.setlocale}
     7947    0.013    0.000    0.350    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:656(_tokenize)
19786/11856    0.044    0.000    0.350    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:260(call)
  3047500    0.339    0.000    0.339    0.000 {built-in method math.hypot}
  1134808    0.268    0.000    0.335    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:101(LatFix)
  2054982    0.332    0.000    0.333    0.000 {built-in method builtins.max}
  4539234    0.330    0.000    0.330    0.000 {built-in method math.isfinite}
    19068    0.018    0.000    0.325    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:378(__next__)
        1    0.000    0.000    0.324    0.324 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:1(<module>)
    27657    0.019    0.000    0.319    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:86(get_name)
53805/24418    0.034    0.000    0.313    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:44(generic_visit)
